l,m,G
0,-1,-0.0018218315327867452
0,0,0.9189419400270831
0,1,0.0005651624412391364
1,-2,0.04249675868398851
1,-1,0.037036845019329155
1,0,0.0006148642075420431
1,1,-0.09186216069024337
1,2,0.02972839259834886
2,-3,0.0017086731394273418
2,-2,0.0030896444686640745
2,-1,-0.0002976426466704666
2,0,0.0013722422638275471
2,1,0.0033278891706976406
2,2,-0.004250682006938821
2,3,0.0004922006233429332
3,-4,-4.1299721963431e-05
3,-3,-8.304773182424632e-05
3,-2,-0.00011996825957414831
3,-1,9.089564876624989e-05
3,0,-0.00012791481150250584
3,1,3.5257790896736846e-05
3,2,-0.00019192463002704624
3,3,-9.432437880160617e-05
3,4,-0.00012125080833763524
4,-5,2.630523340695628e-07
4,-4,6.157940387278212e-06
4,-3,-3.246386755425376e-07
4,-2,1.6575977496336406e-06
4,-1,-6.590790021134691e-06
4,0,-3.2283515841233966e-06
4,1,-2.163334150853921e-06
4,2,6.5925914211101e-06
4,3,-1.891642090455783e-06
4,4,-2.760591457575344e-06
4,5,-2.448593380546126e-06
